ID,Name,Description,CLTS_ID,CLTS_BIPA,CLTS_Name
j_u006Au02D0,jː,,long voiced palatal approximant consonant,jː,long voiced palatal approximant consonant
mpj_u006Du0070u02B2,mpʲ,,pre-nasalized palatalized voiceless bilabial stop consonant,ⁿpʲ,pre-nasalized palatalized voiceless bilabial stop consonant
u_u028Au02D0,ʊː,,long rounded near-close near-back vowel,ʊː,long rounded near-close near-back vowel
k_u006Bu032A,k̪,,NA,,
ng_u014B,ŋ,,voiced velar nasal consonant,ŋ,voiced velar nasal consonant
_u028Cu0303,ʌ̃,,nasalized unrounded open-mid back vowel,ʌ̃,nasalized unrounded open-mid back vowel
fj_u0278u02B2,ɸʲ,,palatalized voiceless bilabial fricative consonant,ɸʲ,palatalized voiceless bilabial fricative consonant
e_u025Bu0303u02D0,ɛ̃ː,,long nasalized unrounded open-mid front vowel,ɛ̃ː,long nasalized unrounded open-mid front vowel
t_u0074u032Au02BC,t̪ʼ,,voiceless dental ejective stop consonant,t̪ʼ,voiceless dental ejective stop consonant
a_u0061u02D0,aː,,long unrounded open front vowel,aː,long unrounded open front vowel
t_u0288u02BC,ʈʼ,,voiceless retroflex ejective stop consonant,ʈʼ,voiceless retroflex ejective stop consonant
bj_u0062u02B2,bʲ,,palatalized voiced bilabial stop consonant,bʲ,palatalized voiced bilabial stop consonant
c_u0063,c,,voiceless palatal stop consonant,c,voiceless palatal stop consonant
nt_u006Eu0074,nt,,pre-nasalized voiceless alveolar stop consonant,ⁿt,pre-nasalized voiceless alveolar stop consonant
j_u029D,ʝ,,voiced palatal fricative consonant,ʝ,voiced palatal fricative consonant
bj_u03B2u02B2,βʲ,,palatalized voiced bilabial fricative consonant,βʲ,palatalized voiced bilabial fricative consonant
nj_u006Eu02B2,nʲ,,palatalized voiced alveolar nasal consonant,nʲ,palatalized voiced alveolar nasal consonant
n_u006Eu0330,n̰,,creaky voiced alveolar nasal consonant,n̰,creaky voiced alveolar nasal consonant
dz_u0064u0292,dʒ,,voiced post-alveolar sibilant affricate consonant,dʒ,voiced post-alveolar sibilant affricate consonant
hj_u0068u02B2,hʲ,,palatalized voiceless glottal fricative consonant,hʲ,palatalized voiceless glottal fricative consonant
g_u0262,ɢ,,voiced uvular stop consonant,ɢ,voiced uvular stop consonant
r_u0280,ʀ,,voiced uvular trill consonant,ʀ,voiced uvular trill consonant
d_u0294u0064,ʔd,,pre-glottalized voiced alveolar stop consonant,ˀd,pre-glottalized voiced alveolar stop consonant
t_u0074u02BC,tʼ,,voiceless alveolar ejective stop consonant,tʼ,voiceless alveolar ejective stop consonant
rh_u027Du02B0,ɽʰ,,aspirated voiced retroflex tap consonant,ɽʰ,aspirated voiced retroflex tap consonant
pjh_u0070u02B2u02B0,pʲʰ,,NA,,
o_u006Fu0330u0303,õ̰,,nasalized creaky rounded close-mid back vowel,õ̰,nasalized creaky rounded close-mid back vowel
ht_u02B0u0074,ʰt,,pre-aspirated voiceless alveolar stop consonant,ʰt,pre-aspirated voiceless alveolar stop consonant
oe_u0153,œ,,rounded open-mid front vowel,œ,rounded open-mid front vowel
e_u025Bu0303,ɛ̃,,nasalized unrounded open-mid front vowel,ɛ̃,nasalized unrounded open-mid front vowel
f_u0066,f,,voiceless labio-dental fricative consonant,f,voiceless labio-dental fricative consonant
_u0259u0303u02D0,ə̃ː,,long nasalized unrounded mid central vowel,ə̃ː,long nasalized unrounded mid central vowel
wh_u0077u02B0,wʰ,,aspirated voiced labio-velar approximant consonant,wʰ,aspirated voiced labio-velar approximant consonant
w_u0077u02D0,wː,,long voiced labio-velar approximant consonant,wː,long voiced labio-velar approximant consonant
s_u0283,ʃ,,voiceless post-alveolar sibilant fricative consonant,ʃ,voiceless post-alveolar sibilant fricative consonant
c_u0063u0330,c̰,,creaky voiceless palatal stop consonant,c̰,creaky voiceless palatal stop consonant
l_u006C,l,,voiced alveolar lateral approximant consonant,l,voiced alveolar lateral approximant consonant
d_u00F0u031E,ð̞,,voiced dental approximant consonant,ɹ̪,voiced dental approximant consonant
r_u0072,r,,voiced alveolar trill consonant,r,voiced alveolar trill consonant
b_u0294u0062,ʔb,,pre-glottalized voiced bilabial stop consonant,ˀb,pre-glottalized voiced bilabial stop consonant
kh_u03C7,χ,,voiceless uvular fricative consonant,χ,voiceless uvular fricative consonant
i_u0268u0330,ɨ̰,,creaky unrounded close central vowel,ɨ̰,creaky unrounded close central vowel
_u028Cu0303u02D0,ʌ̃ː,,long nasalized unrounded open-mid back vowel,ʌ̃ː,long nasalized unrounded open-mid back vowel
kl_u006Bu006C,kl,,with-lateral-release voiceless velar stop consonant,kˡ,with-lateral-release voiceless velar stop consonant
x_u0078,x,,voiceless velar fricative consonant,x,voiceless velar fricative consonant
u_u0075,u,,rounded close back vowel,u,rounded close back vowel
mfj_u006Du0278u02B2,mɸʲ,,pre-nasalized palatalized voiceless bilabial fricative consonant,ⁿɸʲ,pre-nasalized palatalized voiceless bilabial fricative consonant
o_u006Fu0303u02D0,õː,,long nasalized rounded close-mid back vowel,õː,long nasalized rounded close-mid back vowel
g_u0261u02D0,ɡː,,long voiced velar stop consonant,gː,long voiced velar stop consonant
xj_u0078u02B2,xʲ,,palatalized voiceless velar fricative consonant,xʲ,palatalized voiceless velar fricative consonant
e_u0258,ɘ,,unrounded close-mid central vowel,ɘ,unrounded close-mid central vowel
r_u027D,ɽ,,voiced retroflex tap consonant,ɽ,voiced retroflex tap consonant
tsjh_u0074u0073u02B2u02B0,tsʲʰ,,palatalized aspirated voiceless alveolar sibilant affricate consonant,tsʲʰ,palatalized aspirated voiceless alveolar sibilant affricate consonant
qw_u0071u02B7,qʷ,,labialized voiceless uvular stop consonant,qʷ,labialized voiceless uvular stop consonant
_u0259u0330u0303,ə̰̃,,nasalized creaky unrounded mid central vowel,ə̰̃,nasalized creaky unrounded mid central vowel
u_u0264u02D0,ɤː,,long unrounded close-mid back vowel,ɤː,long unrounded close-mid back vowel
i_u0268u02D0,ɨː,,long unrounded close central vowel,ɨː,long unrounded close central vowel
