ID,Language_ID,Parameter_ID,Value,Code_ID,Comment,Source,Value_in_Source
280,AlacalufeS,e_u0065,e,,,viegas2005bb,e
281,AlacalufeS,o_u006F,o,,,viegas2005bb,o
282,AlacalufeS,ae_u00E6,æ,,,viegas2005bb,æ
283,AlacalufeS,a_u0061,a,,,viegas2005bb,a
284,Amahuaca,p_u0070,p,,,osborn1948a,p
285,Amahuaca,t_u0074,t,,,osborn1948a,t
286,Amahuaca,k_u006B,k,,,osborn1948a,k
287,Amahuaca,_u0294,ʔ,,,osborn1948a,ʔ
288,Amahuaca,ts_u0074u0073,ts,,,osborn1948a,ts
289,Amahuaca,ts_u0074u0283,tʃ,,,osborn1948a,tʃ
290,Amahuaca,s_u0073,s,,,osborn1948a,s
291,Amahuaca,s_u0283,ʃ,,,osborn1948a,ʃ
292,Amahuaca,x_u0078,x,,,osborn1948a,x
293,Amahuaca,h_u0068,h,,,osborn1948a,h
294,Amahuaca,m_u006D,m,,,osborn1948a,m
295,Amahuaca,n_u006E,n,,,osborn1948a,n
296,Amahuaca,j_u006A,j,,,osborn1948a,j
297,Amahuaca,w_u0077,w,,,osborn1948a,w
298,Amahuaca,r_u027E,ɾ,,,osborn1948a,ɾ
299,Amahuaca,i_u0069,i,,,osborn1948a,i
300,Amahuaca,i_u0069u0303,ĩ,,,osborn1948a,ĩ
301,Amahuaca,i_u0268,ɨ,,,osborn1948a,ɨ
302,Amahuaca,i_u0268u0303,ɨ̃,,,osborn1948a,ɨ̃
303,Amahuaca,o_u006F,o,,,osborn1948a,o
304,Amahuaca,o_u006Fu0303,õ,,,osborn1948a,õ
305,Amahuaca,a_u0061,a,,,osborn1948a,a
306,Amahuaca,a_u0061u0303,ã,,,osborn1948a,ã
307,Amarakaeri,p_u0070,p,,,tripp1995a,p
308,Amarakaeri,t_u0074,t,,,tripp1995a,t
309,Amarakaeri,k_u006B,k,,,tripp1995a,k
310,Amarakaeri,_u0294,ʔ,,,tripp1995a,ʔ
311,Amarakaeri,mb_u006Du0062,mb,,,tripp1995a,mb
312,Amarakaeri,nd_u006Eu0064,nd,,,tripp1995a,nd
313,Amarakaeri,ngg_u014Bu0261,ŋɡ,,,tripp1995a,ŋɡ
314,Amarakaeri,s_u0073,s,,,tripp1995a,s
315,Amarakaeri,x_u0078,x,,,tripp1995a,x
316,Amarakaeri,m_u006D,m,,,tripp1995a,m
317,Amarakaeri,n_u006E,n,,,tripp1995a,n
318,Amarakaeri,ng_u014B,ŋ,,,tripp1995a,ŋ
319,Amarakaeri,j_u006A,j,,,tripp1995a,j
320,Amarakaeri,w_u0077,w,,,tripp1995a,w
321,Amarakaeri,r_u027E,ɾ,,,tripp1995a,ɾ
322,Amarakaeri,i_u0069,i,,,tripp1995a,i
323,Amarakaeri,i_u0069u0303,ĩ,,,tripp1995a,ĩ
324,Amarakaeri,i_u0069u02D0,iː,,,tripp1995a,iː
325,Amarakaeri,i_u0069u0303u02D0,ĩː,,,tripp1995a,ĩː
326,Amarakaeri,i_u0268,ɨ,,,tripp1995a,ɨ
327,Amarakaeri,i_u0268u02D0,ɨː,,,tripp1995a,ɨː
328,Amarakaeri,e_u0065,e,,,tripp1995a,e
329,Amarakaeri,e_u0065u0303,ẽ,,,tripp1995a,ẽ
330,Amarakaeri,e_u0065u02D0,eː,,,tripp1995a,eː
331,Amarakaeri,e_u0065u0303u02D0,ẽː,,,tripp1995a,ẽː
332,Amarakaeri,o_u006F,o,,,tripp1995a,o
333,Amarakaeri,o_u006Fu0303,õ,,,tripp1995a,õ
334,Amarakaeri,o_u006Fu02D0,oː,,,tripp1995a,oː
335,Amarakaeri,o_u006Fu0303u02D0,õː,,,tripp1995a,õː
336,Amarakaeri,a_u0061,a,,,tripp1995a,a
337,Amarakaeri,a_u0061u0303,ã,,,tripp1995a,ã
338,Amarakaeri,a_u0061u02D0,aː,,,tripp1995a,aː
339,Amarakaeri,a_u0061u0303u02D0,ãː,,,tripp1995a,ãː
340,Amundava,p_u0070,p,,,sampaio1998a,p
341,Amundava,t_u0074,t,,,sampaio1998a,t
342,Amundava,ts_u0074u0283,tʃ,,,sampaio1998a,tʃ
343,Amundava,k_u006B,k,,,sampaio1998a,k
344,Amundava,kw_u006Bu02B7,kʷ,,,sampaio1998a,kʷ
345,Amundava,_u0294,ʔ,,,sampaio1998a,ʔ
346,Amundava,b_u03B2,β,,,sampaio1998a,β
347,Amundava,h_u0068,h,,,sampaio1998a,h
348,Amundava,m_u006D,m,,,sampaio1998a,m
349,Amundava,n_u006E,n,,,sampaio1998a,n
350,Amundava,n_u0272,ɲ,,,sampaio1998a,ɲ
351,Amundava,ng_u014B,ŋ,,,sampaio1998a,ŋ
352,Amundava,ngw_u014Bu02B7,ŋʷ,,,sampaio1998a,ŋʷ
353,Amundava,r_u027E,ɾ,,,sampaio1998a,ɾ
354,Amundava,i_u0069,i,,,sampaio1998a,i
355,Amundava,i_u0069u0303,ĩ,,,sampaio1998a,ĩ
356,Amundava,i_u0268,ɨ,,,sampaio1998a,ɨ
357,Amundava,i_u0268u0303,ɨ̃,,,sampaio1998a,ɨ̃
358,Amundava,u_u0075,u,,,sampaio1998a,u
359,Amundava,u_u0075u0303,ũ,,,sampaio1998a,ũ
360,Amundava,e_u0065,e,,,sampaio1998a,e
361,Amundava,e_u0065u0303,ẽ,,,sampaio1998a,ẽ
362,Amundava,o_u006F,o,,,sampaio1998a,o
363,Amundava,o_u006Fu0303,õ,,,sampaio1998a,õ
