ID	Name	SAPHON_Code	Family	Country
Kanoe	Kanoé	kxo	Isolate	Brazil
Karaja	Karajá	kpj	Macro-Ge	Brazil
Karapana	Karapanã	cbc	Tucanoan	Brazil
KaririXocoDz	Karirí-Xocó (Dzubukuá dialect)	kzw_dzu	Isolate	Brazil
Karitiana	Karitiâna	ktn	Tupí	Brazil
Karo	Karo	arr	Tupí	Brazil
Katukina	Katukína	kav	Katukinan	Brazil
KatukinaPan	Katukína (Panoan)	knt	Panoan	Brazil
Kawesqar	Kawesqar	alc_nth	Alacalufan	Chile
Kaxarari	Kaxararí	ktx	Panoan	Brazil
Kaxuiana	Kaxuiâna	kbb	Carib	Brazil
Kayabi	Kayabí	kyz	Tupí	Brazil
Kinikinao	Kinikinao	gqn	Arawak	Brazil
Kithaulhu	Kithaulhu	nab_kth	Nambiquaran	Brazil
Kogi	Kogi	kog	Chibchan	Colombia
Kokama	Kokama-Kokamilla	cod	Tupí	Peru, Brazil, Colombia
Koreguaje	Koreguaje	coe	Tucanoan	Colombia
